1629646,125,29,112
1629647,122,32,193
1629650,139,4,155
1629651,439,82,639
1629652,199,107,661
1629653,10,8,3
1629655,262,40,415
1629656,151,89,452
1629659,95,97,283
1629660,48,83,219
1629661,60,24,222
1629662,5,0,2
1629667,263,106,582
1629669,145,112,590
1629670,117,38,229
1629673,148,228,1085
1629674,9,1,12
1629675,228,45,487
1629676,89,34,149
1629678,52,23,123
1629680,58,23,127
1629684,241,84,454
1629723,219,68,273
1629726,62,23,214
1629731,86,23,146
1629750,82,23,164
1630162,334,251,1365
1630163,166,227,653
1630164,71,14,139
1630165,136,285,483
1630166,310,125,441
1630167,126,34,264
1630168,387,52,487
1630169,165,430,844
1630170,115,104,563
1630171,140,55,323
1630172,228,67,530
1630173,193,31,308
1630174,176,56,460
1630175,165,146,436
1630176,8,2,4
1630178,91,122,652
1630180,230,80,750
1630181,39,34,149
1630182,82,49,274
1630184,15,6,47
1630188,272,48,452
1630191,347,58,488
1630192,101,11,213
1630193,217,171,668
1630194,127,14,121
1630195,5,7,6
1630197,157,62,273
1630198,92,46,353
1630200,180,322,655
1630201,57,54,180
1630202,58,40,178
1630205,120,21,205
1630208,229,21,332
1630214,125,32,158
1630217,144,121,647
1630224,201,180,1054
1630225,0,0,2
1630227,69,103,146
1630228,130,71,351
1630230,182,126,487
1630231,290,80,604
1630233,44,9,110
1630235,29,31,50
1630237,137,70,302
1630245,152,133,483
1630249,13,11,26
1630250,0,0,0
1630256,59,43,107
1630264,51,17,108
1630284,53,12,97
1630288,13,12,28
1630296,1,0,4
1630322,31,15,80
1630346,14,4,47
1630346,9,6,54
1630346,23,10,101
1630526,129,25,221
1630527,27,19,121
1630528,39,29,157
1630529,143,80,373
1630530,188,66,647
1630531,7,1,17
1630532,211,181,1017
1630533,67,22,165
1630534,51,14,131
1630535,18,1,28
1630537,77,49,250
1630538,86,125,508
1630539,52,5,73
1630540,36,51,147
1630541,69,37,202
1630543,159,35,273
1630544,112,75,377
1630547,51,28,111
1630549,96,19,101
1630550,72,17,113
1630551,4,1,6
1630552,191,46,261
1630553,34,24,110
1630554,22,27,39
1630556,14,2,15
1630557,122,59,431
1630558,71,104,284
1630559,111,80,388
1630560,50,48,294
1630561,15,12,42
1630563,13,18,28
1630567,367,249,799
1630568,40,9,108
1630570,120,57,201
1630572,44,14,45
1630573,121,35,280
1630577,0,0,0
1630578,422,170,737
1630579,188,20,148
1630580,0,1,9
1630581,375,275,763
1630583,229,58,458
1630586,220,46,152
1630587,73,20,178
1630590,4,2,14
1630591,80,108,266
1630593,19,25,31
1630595,74,72,239
1630596,466,142,796
1630598,134,59,260
1630600,11,0,9
1630613,36,63,244
1630625,33,28,115
1630631,131,166,501
1630637,0,0,2
1630639,1,0,2
1630639,7,1,19
1630639,8,1,21
1630647,46,11,103
1630648,0,1,3
1630678,39,9,67
1630688,80,37,146
1630692,127,98,248
1630696,9,5,11
1630699,81,23,199
1630700,138,96,176
1630701,0,0,0
1630702,29,14,140
1630792,1,0,0
1631093,200,228,762
1631094,309,173,955
1631095,347,54,591
1631097,226,75,949
1631098,7,2,11
1631099,223,48,584
1631100,104,54,483
1631101,126,26,396
1631102,22,24,75
1631103,68,72,312
1631104,8,9,38
1631105,394,48,382
1631106,303,50,462
1631107,31,10,82
1631108,72,17,124
1631109,118,6,161
1631110,218,112,445
1631111,14,10,32
1631112,6,3,9
1631113,30,46,59
1631114,192,138,565
1631115,101,19,102
1631116,21,3,80
1631117,376,39,396
1631119,83,25,94
1631120,2,1,2
1631121,36,21,80
1631128,106,31,183
1631132,145,22,156
1631133,70,16,69
1631157,12,6,23
1631160,12,11,28
1631165,2,1,3
1631169,5,2,10
1631172,49,26,79
1631197,1,0,2
1631199,2,0,8
1631205,0,0,0
1631207,7,7,16
1631211,1,0,0
1631212,3,0,8
1631213,6,0,15
1631214,1,0,0
1631216,69,18,119
1631217,44,3,51
1631220,1,0,4
1631222,59,21,96
1631223,120,29,280
1631230,6,4,14
1631246,7,3,7
1631254,4,4,17
1631260,26,11,106
1631288,38,8,64
1631298,7,0,7
1631306,7,4,9
1631309,0,3,6
1631320,2,1,2
1631323,28,8,90
